MediaCanalR,MediaCanalG,MediaCanalB,MedianaR,MedianaG,MedianaB,ModaR,ModaG,ModaB,DesviacionEstandarR,DesviacionEstandarG,DesviacionEstandarB,MedioEscalaDeGrises,DesviacionEstandarEscalaDeGris,MedianaEscalaDeGris,ModaEscalaDeGris,MediaH,MediaS,MediaV,DesviacionEstandarH,DesviacionEstandarS,DesviacionEstandarV,MedianaH,MedianaS,MedianaV,ModaH,ModaS,ModaV,EntropiaEscalaDeGrises,EntropiaR,EntropiaG,EntropiaB,Class
46.35,85.18,176.15,44,79,47,46,70,166,15.41,25.59,38.74,106.69,18.31,104,102,222.9,72.17,70.29,13.65,13.03,13.53,225.22,75.51,69.02,220,48.8,65.1,6.12,5.78,6.12,7.06,I
3.54,155.29,245.41,1,156,253,0,161,255,6.66,40.45,30.24,165.39,25.59,166,164,202.08,98.6,97.59,13.15,2.62,4.81,202.81,99.61,99.22,200.99,100,100,6.69,3.11,7.34,3.73,I
38.75,97.34,74.24,36,96,73,0,81,79,25.64,36.96,30.01,82.99,30.26,82,82,158.79,62.43,38.18,8.17,17.81,14.48,158.92,61.11,37.65,156,100,31.76,6.95,6.51,7.11,6.92,N
20.86,48.66,49.16,18,44,47,0,30,34,16.73,28.67,19.29,43.87,17.8,42,31,187.1,62.25,20.72,14.15,18.25,11.01,188.18,61.54,18.82,180,100,17.25,6.08,5.62,6.25,6.2,N
33.44,91.88,200.22,31,88,209,29,93,255,19.42,35.48,46.12,117.5,29.85,118,117,218.29,83.4,79.76,14.12,9.57,16.06,221.44,85.08,82.75,222.81,100,100,6.92,6.02,6.99,7.05,I
115.82,141.46,154.55,123,23,39,150,171,175,37.53,37.68,36.37,141.95,34.27,24,175,204.26,28.29,62.36,14.62,14.08,12.87,207,25.63,65.88,208.7,22.22,68.63,6.69,6.86,6.77,6.72,H
5.03,50.74,150.62,2,48,28,0,0,69,6.62,35.5,42.01,73.72,23.96,75,72,221.93,96.92,60.98,16.66,3.92,15,223.12,98.58,61.96,240,100,27.06,6.55,3.52,6.47,7.17,I
15.54,98.48,177.86,6,94,69,0,142,255,22.43,56.39,75.3,111.72,50.42,117,147,211.51,87.8,71.72,19.29,17.95,28.05,215.11,96.53,80.39,199.5,100,100,7.52,4.81,7.63,6.85,I
17.54,57,143.63,17,49,11,0,40,115,10.8,32.39,41.43,76.97,21.56,72,59,222.32,86.94,58.08,15.33,8.61,15.44,225.1,86.97,55.29,225,100,45.1,6.21,5.3,5.97,7.16,I
78.38,129.74,232.58,78,125,117,76,120,255,17.09,22.84,34.13,154.9,14.96,28,159,220.01,66.54,92.67,14.1,8.03,7.94,222.69,66.95,96.08,225,66.67,100,5.92,5.92,6.15,5.68,I
